cateto,  perimetro,   apotema,           area
440.0,    2640.0,    381.051177665153,  502987.5545180019
443.0,    2658.0,    383.6492538765063,  509869.8584018769
303.0,    1818.0,    262.4056973466849,  238526.77888813659
194.0,    1164.0,    168.0089283341811,  97781.19629049339
146.0,    876.0,    126.43970895252804,  55380.59252120728
401.0,    2406.0,    347.27618691755987,  417773.2528618245
195.0,    1170.0,    168.87495373796554,  98791.84793670985
188.0,    1128.0,    162.81277591147446,  91826.4056140716
48.0,    288.0,    41.569219381653056,  5985.96759095804
221.0,    1326.0,    191.39161423636094,  126892.6402387073
2.0,    12.0,    1.7320508075688772,  10.392304845413264
27.0,    162.0,    23.382685902179844,  1893.9975580765674
22.0,    132.0,    19.05255888325765,  1257.468886295005
121.0,    726.0,    104.78907385791707,  38038.4338104239
291.0,    1746.0,    252.01339250127165,  220007.69165361015
457.0,    2742.0,    395.77360952948845,  542605.6186649287
405.0,    2430.0,    350.74028853269766,  426149.4505672277
114.0,    684.0,    98.72689603142601,  33764.598442747694
141.0,    846.0,    122.10958193360585,  51652.35315791528
244.0,    1464.0,    211.31019852340302,  154679.065319131
450.0,    2700.0,    389.7114317029974,  526110.4327990465
391.0,    2346.0,    338.6159328797155,  397196.4892679063
104.0,    624.0,    90.06664199358161,  28100.792301997462
55.0,    330.0,    47.63139720814412,  7859.18053934378
440.0,    2640.0,    381.051177665153,  502987.5545180019
122.0,    732.0,    105.65509926170151,  38669.76632978275
263.0,    1578.0,    227.76468119530736,  179706.33346309752
147.0,    882.0,    127.30573435631248,  56141.8288511338
130.0,    780.0,    112.58330249197702,  43907.487971871036
300.0,    1800.0,    259.8076211353316,  233826.85902179845
230.0,    1380.0,    199.18584287042088,  137438.23158059042
499.0,    2994.0,    432.1466764884349,  646923.574703187
303.0,    1818.0,    262.4056973466849,  238526.77888813659
121.0,    726.0,    104.78907385791707,  38038.4338104239
324.0,    1944.0,    280.59223082615813,  272735.6483630257
265.0,    1590.0,    229.49673200287623,  182449.9019422866
158.0,    948.0,    136.8320137979413,  64858.37454022418
184.0,    1104.0,    159.34867429633672,  87960.46821157787
54.0,    324.0,    46.76537180435969,  7575.99023230627
49.0,    294.0,    42.4352447854375,  6237.9809834593125
194.0,    1164.0,    168.0089283341811,  97781.19629049339
491.0,    2946.0,    425.21847325815935,  626346.8111092687
121.0,    726.0,    104.78907385791707,  38038.4338104239
32.0,    192.0,    27.712812921102035,  2660.4300404257956
183.0,    1098.0,    158.48264889255228,  87006.9742420112
3.0,    18.0,    2.598076211353316,  23.382685902179844
38.0,    228.0,    32.90896534380867,  3751.622049194188
66.0,    396.0,    57.15767664977295,  11317.219976655044
437.0,    2622.0,    378.45310145379966,  496152.01600593136
26.0,    156.0,    22.516660498395403,  1756.2995188748414
309.0,    1854.0,    267.60184976939155,  248066.91473622597
295.0,    1770.0,    255.4774941164094,  226097.5822930223
263.0,    1578.0,    227.76468119530736,  179706.33346309752
143.0,    858.0,    123.84163274117472,  53128.06044596396
247.0,    1482.0,    213.90827473475633,  158506.03157845445
420.0,    2520.0,    363.73066958946424,  458300.64368272497
474.0,    2844.0,    410.49604139382393,  583725.3708620176
397.0,    2382.0,    343.81208530242213,  409480.19359518477
119.0,    714.0,    103.05702305034819,  36791.3572289743
97.0,    582.0,    84.00446416709055,  24445.299072623347
444.0,    2664.0,    384.51527928029077,  512174.3520013473
11.0,    66.0,    9.526279441628825,  314.36722157375124
136.0,    816.0,    117.77945491468365,  48054.01760519093
109.0,    654.0,    94.39676901250381,  30867.743467088745
44.0,    264.0,    38.1051177665153,  5029.87554518002
208.0,    1248.0,    180.13328398716322,  112403.16920798985
386.0,    2316.0,    334.28580586079335,  387102.9631867987
173.0,    1038.0,    149.82239485470788,  77757.82292959339
368.0,    2208.0,    318.69734859267345,  351841.8728463115
281.0,    1686.0,    243.35313846342726,  205146.69572466917
113.0,    678.0,    97.86087062764156,  33174.83514277049
129.0,    774.0,    111.71727708819259,  43234.58623313053
80.0,    480.0,    69.2820323027551,  16627.687752661222
338.0,    2028.0,    292.7165864791403,  296814.6186898482
42.0,    252.0,    36.373066958946424,  4583.00643682725
392.0,    2352.0,    339.4819582835,  399230.782941396
327.0,    1962.0,    283.19030703751145,  277809.69120379875
355.0,    2130.0,    307.4390183434757,  327422.55453580164
82.0,    492.0,    71.01408311032397,  17469.464445139696
458.0,    2748.0,    396.6396349332729,  544982.8583983169
242.0,    1452.0,    209.57814771583415,  152153.7352416956
239.0,    1434.0,    206.98007150448083,  148404.71126871277
236.0,    1416.0,    204.38199529312752,  144702.4526675343
376.0,    2256.0,    325.6255518229489,  367305.6224562864
320.0,    1920.0,    277.1281292110204,  266043.00404257956
326.0,    1956.0,    282.324281633727,  276113.14743778505
305.0,    1830.0,    264.1377481542538,  241686.03956114224
346.0,    2076.0,    299.64478970941576,  311031.29171837354
453.0,    2718.0,    392.3095079143507,  533148.6212556026
155.0,    930.0,    134.23393758658798,  62418.78097776341
45.0,    270.0,    38.97114317029974,  5261.104327990465
34.0,    204.0,    29.444863728670914,  3003.376100324433
32.0,    192.0,    27.712812921102035,  2660.4300404257956
22.0,    132.0,    19.05255888325765,  1257.468886295005
88.0,    528.0,    76.2102355330306,  20119.50218072008
100.0,    600.0,    86.60254037844386,  25980.762113533157
20.0,    120.0,    17.320508075688775,  1039.2304845413264
200.0,    1200.0,    173.20508075688772,  103923.04845413263
330.0,    1980.0,    285.78838324886476,  282930.4994163761
260.0,    1560.0,    225.16660498395404,  175629.95188748415
